,count,mean,std,min,25%,50%,75%,max
Unnamed:,5235.0,2617.0,1511.3586602788896,0.0,1308.5,2617.0,3925.5,5234.0
danceability,5235.0,0.5095029990448902,0.21804102237967374,0.0,0.309,0.539,0.688,0.967
energy,5235.0,0.6535646995797516,0.28833495434424555,0.0,0.479,0.738,0.893,1.0
key,5235.0,5.2544412607449855,3.571559104440095,0.0,2.0,5.0,8.0,11.0
loudness,5235.0,-9.338098376313274,6.294850141279967,-60.0,-11.337,-7.338,-5.264,1.342
mode,5235.0,0.6462273161413562,0.4781853734026374,0.0,0.0,1.0,1.0,1.0
speechiness,5235.0,0.08317824259789876,0.07119318214920843,0.0,0.039,0.0558,0.09864999999999999,0.918
acousticness,5235.0,0.290043130756447,0.3559847230983787,0.0,0.00245,0.0954,0.5654999999999999,0.996
instrumentalness,5235.0,0.25733660671633235,0.3706862547649388,0.0,1.02e-06,0.00188,0.643,0.985
liveness,5235.0,0.1853535052531041,0.14940979724578315,0.0,0.0925,0.125,0.237,0.987
valence,5235.0,0.4435964278892073,0.2777251750403693,0.0,0.196,0.417,0.677,0.985
tempo,5235.0,118.72140725883477,28.568463441414927,0.0,96.174,119.18,134.019,213.99
duration_ms,5235.0,247911.1692454632,135633.0231044661,32760.0,189991.0,224667.0,271720.0,3815787.0
time_signature,5235.0,3.902960840496657,0.42032433456896534,0.0,4.0,4.0,4.0,5.0
