k,inertia,silhouette,davies_bouldin,calinski_harabasz
4,79227.38733172274,0.3303679265866213,1.212657375369015,3584.605044200205
6,65031.42138931603,0.27309808949397674,1.4182175669363357,2847.5524611064598
8,56556.99160454668,0.26759385070492503,1.3630765625121068,2449.7269108586797
10,50529.34451998459,0.25943622003904304,1.4118240756725546,2201.068841441614
12,46219.62373097472,0.2509499260390949,1.3930843793817738,2012.3157207189206
14,42653.37943811556,0.2611069044749867,1.291524700945178,1877.976725958985
16,41288.416271725466,0.2241790366847816,1.496814818293315,1692.235203025195
18,39396.09672289014,0.23041696580210733,1.498142911477104,1579.0102311273856
20,38365.75770641515,0.2188140591136481,1.5722853369230214,1457.5755829933175
22,36978.931713541126,0.19502363295786082,1.6429787167248384,1376.9892489326294
24,35456.530996208705,0.18171013049075863,1.7285694658329334,1320.4522837372974
26,34589.818363341044,0.17163261356512804,1.7000956376872363,1250.001748311575
28,33741.268459425344,0.16584916260336785,1.725183439212317,1190.9091140868484
30,33233.362484488265,0.16341048032767744,1.765982950561344,1128.032253328302
